trialIdx, primeName, targetName, targetSide, condition, correctResponse, response, roll, pitch, yaw, rt, timestamp
126, neutral, BakerBerryHistoric2, 90, neutral, open, open, -4.873047, 5.535832, 68.92532, 1.322693, 925.7827
127, BakerBerryHistoric2, BakerBerryHistoric2_mirror, 90, mirror, open, open, -7.496704, 10.71223, 75.54378, 1.114502, 928.0529
128, PineEntrance, PineEntrance_mirror, 90, mirror, closed, closed, -7.40509, 13.02598, 74.71426, 1.169739, 930.4052
129, RollinsChapel3, RollinsChapel3, 90, ss, closed, closed, 0.01843587, -0.5106812, 28.91403, 0.7519531, 932.5212
130, Hop4, Hop4, 90, ss, closed, closed, -0.5011597, -1.517731, 2.991123, 0.7377319, 934.498
131, RaunerFirst, RaunerFirst_mirror, -90, mirror, closed, closed, -1.350464, -1.511383, -56.60248, 1.08606, 936.9345
132, RollinsChapel3, RollinsChapel3, 90, ss, closed, closed, -5.146729, 2.041411, 65.76202, 1.030518, 939.2458
133, neutral, RaunerFirst, -90, neutral, closed, closed, 2.450105, -4.767822, -62.60013, 0.9189453, 941.3339
134, neutral, BakerBerryCharter, -90, neutral, open, closed, 2.355182, -0.6482849, -43.87579, 0.8078003, 943.3389
135, Umplebys, Umplebys, -90, ss, open, open, 1.197261, -2.323608, -61.48822, 0.9049072, 945.3853
136, RaunerBackHall, RaunerBackHall_mirror, 90, mirror, open, open, -4.531036, -0.2014465, 60.58665, 1.183411, 947.7522
137, RaunerFirst, RaunerFirst, 90, ss, open, open, -7.692841, 1.018611, 64.15332, 1.169739, 950.0215
138, Zimmerman, Zimmerman_mirror, -90, mirror, closed, open, -1.071716, 1.088959, -63.80008, 1.183472, 952.3465
139, neutral, MooreLot, 90, neutral, open, open, -5.624786, 2.560112, 64.92209, 1.364624, 954.8388
140, MooreLot, MooreLot_mirror, 90, mirror, open, open, -5.426575, 4.548076, 72.52074, 1.141663, 957.1497
141, BakerBerryCharter, BakerBerryCharter_mirror, -90, mirror, open, open, 2.232877, -3.208069, -69.59409, 1.072144, 959.3356
142, neutral, PineBackHall, -90, neutral, open, open, 0.1384678, 0.176455, -72.84204, 1.002686, 961.4657
143, neutral, RollinsChapel3, -90, neutral, open, open, -0.6126709, -0.2438965, -71.12003, 0.9747925, 963.5541
144, Umplebys, Umplebys_mirror, 90, mirror, closed, closed, -7.029205, 0.9200152, 63.75599, 1.127869, 965.7816
