169, 53Commons, 0, 53Commons, -90, -90, right, 3, closed, closed, -0.3489685, -2.826294, -156.0062, 1.225098, 1416.191
170, NeutralPineEntrance, 0, PineEntrance, -90, -90, left, 2, open, open, 2.135494, -1.78833, -159.1636, 1.392212, 1420.089
171, NeutralHop4, 0, Hop4, -93, -90, left, 2, open, open, 1.628675, -3.66275, -158.5813, 0.8215332, 1423.375
172, PineBackHall, 180, PineBackHall, 90, -90, right, 3, open, open, 0.3633864, -0.1559143, 17.0191, 0.751709, 1426.619
173, PineEntrance, 0, PineEntrance, -90, -90, right, 3, open, open, 1.232097, -1.392975, -164.5439, 0.8074951, 1430.127
174, NeutralRaunerFirst, 0, RaunerFirst, 90, 90, right, 2, open, closed, -8.182495, 1.131312, 158.1009, 1.08606, 1433.747
175, MooreLot, 180, MooreLot, 90, -90, left, 1, closed, closed, 0.2538702, -3.366028, 25.0083, 0.6682129, 1436.879
176, RaunerFirst, 0, RaunerFirst, -90, -90, right, 3, closed, open, 1.991282, -0.975647, -162.2313, 1.002197, 1440.305
177, MooreLot, 180, MooreLot, 90, -90, right, 3, closed, closed, 1.419455, -3.193207, 26.25629, 0.8771973, 1443.688
178, Maynard, 0, Maynard, -90, -90, left, 1, open, open, 1.530607, -2.220428, -164.2615, 0.668457, 1446.932
179, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, -7.323151, -1.976685, 54.34122, 1.489868, 1450.844
180, NeutralMooreLot, 0, MooreLot, 90, -90, right, 4, closed, closed, 1.710499, -0.8714905, 23.02106, 0.8494873, 1454.157
181, Maynard, 0, Maynard, 90, 90, left, 3, closed, closed, -4.660248, -2.41037, 154.0092, 1.489746, 1458.125
182, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, right, 3, closed, open, 1.984803, -2.851471, 21.74603, 0.751709, 1461.369
183, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, right, 3, closed, closed, 2.188224, -0.2817688, -59.41748, 0.9468994, 1464.78
184, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, 2.330839, -2.631042, -159.9089, 0.8212891, 1468.024
185, Neutral53Commons, 0, 53Commons, 90, 90, left, 4, open, open, -5.4776, -1.730225, 156.9337, 1.503662, 1471.95
186, NeutralUmplebys, 0, Umplebys, 40, 90, left, 4, closed, open, -6.297089, 0.5451683, 108.3819, 1.308716, 1475.723
187, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, 0.829713, -5.190857, 12.94333, 0.7653809, 1478.967
188, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, -8.480469, -1.230988, 61.16059, 1.016479, 1482.531
189, NeutralPineBackHall, 0, PineBackHall, 90, -90, left, 2, open, open, 2.800979, -3.678864, 16.33578, 0.9746094, 1485.969
190, NeutralMaynard, 0, Maynard, 90, 90, left, 4, closed, closed, -6.471924, -1.603973, 153.1175, 1.406372, 1489.868
191, NeutralBakerBerry2nd, 0, BakerBerry2nd, 4, -90, right, 4, closed, closed, 3.338346, -2.401031, -73.02383, 0.9329834, 1493.126
192, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, open, 3.242901, -3.670502, -163.7841, 0.9188232, 1496.481
193, Umplebys, -50, Umplebys, -140, -90, left, 1, open, open, 2.54213, -4.336548, -213.9301, 0.7658691, 1499.655
194, NeutralRaunerFirst, 0, RaunerFirst, -90, -90, right, 4, closed, closed, 1.997926, -2.863586, -165.9911, 0.9050293, 1503.094
195, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, right, 1, open, open, -8.930603, 2.014537, 345.6844, 0.9056396, 1506.464
196, NeutralHop4, 0, Hop4, 87, 90, left, 4, closed, closed, -8.073273, -1.606262, 154.2596, 1.281128, 1510.125
197, Maynard, 0, Maynard, 90, 90, right, 1, closed, closed, -8.106903, -3.533875, 158.4022, 1.336548, 1513.87
198, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, -8.759583, -1.251251, 160.0713, 1.239136, 1517.531
199, Fairbanks, 0, Fairbanks, 90, 90, left, 3, closed, closed, -9.920532, -0.696106, 162.3199, 1.155396, 1521.151
