142, NeutralRaunerBackHall, 0, RaunerBackHall, 90, 90, right, 2, open, open, -6.867218, -1.66626, 151.6446, 0.9189453, 1137.438
143, NeutralFairbanks, 0, Fairbanks, -90, -90, left, 2, open, open, 6.519905, -7.440155, -158.2667, 0.9747314, 1140.655
144, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -5.28891, 4.108442, 155.4456, 0.9468994, 1143.843
145, NeutralPineBackHall, 0, PineBackHall, 90, -90, right, 4, open, open, 5.702854, -4.1633, 17.76697, 1.127808, 1147.254
146, NeutralHop2, 0, Hop2, -91, -90, left, 2, closed, closed, 7.285309, -9.712585, -162.1664, 1.016479, 1150.526
147, PineBackHall, 180, PineBackHall, 270, 90, right, 1, closed, closed, -1.963135, -1.757751, 336.0536, 4.803589, 1157.627
148, Umplebys, -50, Umplebys, 40, 90, left, 3, closed, closed, -5.166229, -4.03244, 107.4999, 0.9329834, 1162.027
149, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, left, 3, open, closed, -3.264832, -3.334656, 333.3217, 0.8354492, 1165.132
150, Neutral53Commons, 0, 53Commons, -90, -90, left, 2, closed, closed, 5.085172, -8.906494, -146.1072, 1.030396, 1168.502
151, Hop2, -1, Hop2, -91, -90, left, 1, closed, closed, 2.308337, -7.362518, -145.3515, 0.8074951, 1171.593
152, Hop4, -3, Hop4, -93, -90, left, 1, open, open, -0.7786865, -2.916412, -65.70023, 0.8493652, 1174.934
153, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, 5.733014, -5.167816, -262.4915, 1.030396, 1178.513
154, NeutralMaynard, 0, Maynard, -90, -90, left, 2, open, open, 3.290816, -6.731781, -151.2319, 0.8076172, 1181.534
155, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, left, 1, open, open, 4.410457, -7.62442, -244.2849, 0.8494873, 1184.597
156, NeutralPineEntrance, 0, PineEntrance, -90, -90, right, 4, open, open, 1.666454, -2.163361, -158.7305, 0.9885254, 1187.883
157, NeutralMooreLot, 0, MooreLot, 270, 90, left, 4, open, open, -4.435822, -2.603516, 337.3838, 0.9191895, 1191.434
158, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, closed, 5.852888, -1.405273, -151.3551, 0.8215332, 1194.594
159, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -3.879974, -2.1604, 145.929, 0.7658691, 1197.727
160, Maynard, 0, Maynard, -90, -90, right, 3, open, closed, 6.328345, -3.279175, -157.9741, 1.099976, 1201.194
161, NeutralBakerBerryCharter, 0, BakerBerryCharter, -180, -90, right, 4, open, open, 3.222171, -1.764435, -255.8354, 0.8354492, 1218.654
162, NeutralZimmerman, 0, Zimmerman, -10, 90, left, 4, open, open, -8.68045, -3.917023, 60.38145, 0.8215332, 1221.661
163, Fairbanks, 0, Fairbanks, 90, 90, right, 1, closed, closed, -6.450806, -6.891357, 152.995, 0.9050293, 1224.864
164, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, right, 1, open, open, -2.816559, 6.011482, 337.6219, 1.030396, 1228.164
165, NeutralRaunerFirst, 0, RaunerFirst, -90, -90, left, 2, closed, closed, 8.019898, 4.230083, -169.0532, 0.9467773, 1231.352
166, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -7.28302, 4.370462, 156.0379, 0.8911133, 1234.596
167, NeutralZimmerman, 0, Zimmerman, -10, 90, right, 2, open, open, -4.49176, 1.163821, 60.7113, 0.8631592, 1237.785
168, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, right, 3, open, open, 1.776326, -0.82724, -238.7324, 0.9191895, 1240.973
169, 53Commons, 0, 53Commons, -90, -90, right, 3, closed, closed, 4.526665, -4.493286, -163.9296, 1.044434, 1244.315
170, NeutralPineEntrance, 0, PineEntrance, -90, -90, left, 2, open, open, 4.677898, -4.594604, -162.2433, 0.7937012, 1247.475
171, NeutralHop4, 0, Hop4, -93, -90, left, 2, open, open, 5.773974, -6.423248, -164.3068, 0.7938232, 1250.58
172, PineBackHall, 180, PineBackHall, 90, -90, right, 3, open, open, 4.17604, -0.6211243, 17.11069, 1.907593, 1254.883
173, PineEntrance, 0, PineEntrance, -90, -90, right, 3, open, open, 4.259164, -2.638489, -165.7933, 0.9050293, 1258.029
174, NeutralRaunerFirst, 0, RaunerFirst, 90, 90, right, 2, open, open, -8.41626, -1.297241, 154.3357, 0.7519531, 1261.065
175, MooreLot, 180, MooreLot, 90, -90, left, 1, closed, closed, 4.365549, -9.670563, 26.94427, 0.8077393, 1264.1
176, RaunerFirst, 0, RaunerFirst, -90, -90, right, 3, closed, closed, 3.269398, -5.034973, -156.6505, 0.7518311, 1267.038
177, MooreLot, 180, MooreLot, 90, -90, right, 3, closed, closed, 4.034673, -6.521973, 25.46368, 0.8494873, 1270.157
178, Maynard, 0, Maynard, -90, -90, left, 1, open, open, 5.106431, -7.515381, -150.2516, 0.8494873, 1273.262
179, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, -6.774323, -5.155304, 52.93271, 0.7658691, 1276.283
180, NeutralMooreLot, 0, MooreLot, 90, -90, right, 4, closed, closed, 4.719873, -6.518677, 30.40076, 0.8356934, 1279.416
181, Maynard, 0, Maynard, 90, 90, left, 3, closed, closed, -5.431885, -2.369324, 154.9918, 0.9466553, 1282.535
182, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, right, 3, closed, closed, 3.527089, -6.064148, 30.44937, 0.7380371, 1285.848
183, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, right, 3, closed, closed, 4.005768, -4.98587, -58.3111, 1.852051, 1290.137
184, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, 1.851943, -8.084137, -161.96, 0.8215332, 1293.256
185, Neutral53Commons, 0, 53Commons, 90, 90, left, 4, open, open, -6.479797, -0.6452332, 162.725, 0.8215332, 1296.416
186, NeutralUmplebys, 0, Umplebys, 40, 90, left, 4, closed, closed, -3.817505, -1.937134, 111.0299, 1.239014, 1299.939
187, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, 4.466613, -5.923737, 27.77393, 0.7797852, 1303.002
188, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, -8.74176, -6.612335, 54.64709, 0.8494873, 1306.163
