129, NeutralMaynard, 0, Maynard, -90, -90, right, 4, open, open, 9.488499, 4.937682, -162.478, 1.155518, 1251.153
130, NeutralRollinsChapel3, 0, RollinsChapel3, 87, -90, left, 2, open, open, 7.671286, 6.11536, 20.96509, 1.08606, 1254.745
131, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, right, 1, closed, closed, -5.331024, 11.53543, 72.92936, 1.113647, 1258.532
132, NeutralAllenSt, 0, AllenSt, -90, -90, left, 2, open, open, 7.743366, 5.671245, -160.0206, 1.030273, 1262.096
133, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, left, 1, closed, closed, 9.115342, 7.893226, 20.5621, 1.11377, 1265.688
134, NeutralHop2, 0, Hop2, 89, 90, left, 4, open, open, -5.669312, 6.098757, 153.1813, 0.9748535, 1269.405
135, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, left, 3, open, open, -4.445099, 6.496654, 249.2032, 0.9328613, 1273.025
136, NeutralZimmerman, 0, Zimmerman, -190, -90, right, 4, closed, closed, 10.25035, 8.220204, -261.8472, 1.08606, 1276.589
137, Maynard, 0, Maynard, -90, -90, left, 1, open, open, 8.360892, 6.280024, -159.6563, 0.8632813, 1280.348
138, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 90, -90, left, 2, closed, closed, 8.664865, 6.792168, 19.51569, 0.9606934, 1283.898
139, RollinsChapel3, 177, RollinsChapel3, 267, 90, right, 1, closed, closed, -3.80304, 10.17672, 338.5158, 0.9190674, 1287.463
140, Fairbanks, 0, Fairbanks, 90, 90, right, 1, closed, closed, -5.935913, 4.806032, 147.6248, 0.8492432, 1290.776
141, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, 6.964491, 2.578134, 27.70291, 0.793457, 1294.117
142, NeutralRaunerBackHall, 0, RaunerBackHall, 90, 90, right, 2, open, open, -4.883667, 6.674713, 155.6059, 0.9746094, 1297.598
143, NeutralFairbanks, 0, Fairbanks, -90, -90, left, 2, open, open, 8.888927, 4.084665, -157.4161, 0.9467773, 1300.967
144, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -6.293518, 8.361827, 156.2295, 0.9467773, 1304.42
145, NeutralPineBackHall, 0, PineBackHall, 90, -90, right, 4, open, open, 8.206053, 8.0416, 12.73016, 1.072021, 1307.998
146, NeutralHop2, 0, Hop2, -91, -90, left, 2, closed, closed, 8.257154, 6.910506, -161.8089, 1.099854, 1312.091
147, PineBackHall, 180, PineBackHall, 270, 90, right, 1, closed, closed, -2.611389, 3.654387, 324.1963, 0.793335, 1315.404
148, Umplebys, -50, Umplebys, 40, 90, left, 3, closed, closed, -5.891907, 7.160191, 101.808, 0.9051514, 1319.024
149, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, left, 3, open, open, -5.268188, 10.37141, 340.2515, 1.099854, 1322.63
150, Neutral53Commons, 0, 53Commons, -90, -90, left, 2, closed, closed, 7.191066, 4.621409, -157.2915, 1.072144, 1326.194
151, Hop2, -1, Hop2, -91, -90, left, 1, closed, closed, 7.553613, 4.084786, -156.2265, 0.9608154, 1329.758
152, Hop4, -3, Hop4, -93, -90, left, 1, open, open, 7.889904, 4.630266, -165.1599, 0.7937012, 1334.715
153, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, 6.695169, 1.777981, -265.584, 0.8354492, 1338.07
154, NeutralMaynard, 0, Maynard, -90, -90, left, 2, open, open, 9.336695, 2.023448, -162.0619, 0.8771973, 1341.495
155, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, left, 1, open, open, 9.154912, 4.726058, -252.9092, 1.280273, 1345.254
156, NeutralPineEntrance, 0, PineEntrance, -90, -90, right, 4, open, open, 7.685847, 7.265706, -163.8446, 1.05835, 1349.096
157, NeutralMooreLot, 0, MooreLot, 270, 90, left, 4, open, open, -6.959351, 9.607134, 334.9665, 0.9886475, 1352.591
158, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, closed, 10.47631, 5.479842, -162.7023, 1.086182, 1356.155
159, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -4.112946, 2.298354, 134.323, 0.682251, 1359.343
160, Maynard, 0, Maynard, -90, -90, right, 3, open, open, 8.271805, 6.724823, -159.3252, 0.9191895, 1362.852
161, NeutralBakerBerryCharter, 0, BakerBerryCharter, -180, -90, right, 4, open, open, 8.283667, 6.952552, -251.7175, 0.9747314, 1375.215
162, NeutralZimmerman, 0, Zimmerman, -10, 90, left, 4, open, open, -6.150726, 5.664092, 53.28476, 0.9608154, 1378.626
163, Fairbanks, 0, Fairbanks, 90, 90, right, 1, closed, closed, -3.923187, 2.115975, 127.5661, 0.710083, 1381.814
164, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, right, 1, open, open, -6.624329, 9.692417, 336.8687, 1.05835, 1385.35
165, NeutralRaunerFirst, 0, RaunerFirst, -90, -90, left, 2, closed, closed, 6.724257, 5.445825, -154.9538, 1.169556, 1389.276
166, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -4.321747, 7.841325, 149.7592, 0.7935791, 1392.562
167, NeutralZimmerman, 0, Zimmerman, -10, 90, right, 2, open, open, -7.930817, 7.873465, 56.60765, 0.9328613, 1395.945
168, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, right, 3, open, open, 6.337822, 3.746612, -245.623, 1.503662, 1400.038
169, 53Commons, 0, 53Commons, -90, -90, right, 3, closed, closed, 9.323762, 4.29081, -145.867, 1.183472, 1403.686
170, NeutralPineEntrance, 0, PineEntrance, -90, -90, left, 2, open, open, 8.882675, 6.32256, -160.9029, 0.9747314, 1407.682
171, NeutralHop4, 0, Hop4, -93, -90, left, 2, open, open, 9.137699, 5.746024, -152.0758, 0.8214111, 1410.967
172, PineBackHall, 180, PineBackHall, 90, -90, right, 3, open, open, 9.165475, 0.455542, 73.31766, 0.668335, 1414.183
173, PineEntrance, 0, PineEntrance, -90, -90, right, 3, open, open, 9.606932, 0.71013, -99.79749, 0.5291748, 1417.497
174, NeutralRaunerFirst, 0, RaunerFirst, 90, 90, right, 2, open, open, 4.65552, 1.529432, 100.0335, 0.9329834, 1421.228
175, MooreLot, 180, MooreLot, 90, -90, left, 1, closed, closed, 6.018571, 4.997584, 30.16528, 1.489868, 1425.349
176, RaunerFirst, 0, RaunerFirst, -90, -90, right, 3, closed, closed, 8.705046, 1.796748, -96.10388, 0.8912354, 1428.718
177, MooreLot, 180, MooreLot, 90, -90, right, 3, closed, closed, 6.965633, 5.830224, 27.27512, 1.016479, 1432.268
178, Maynard, 0, Maynard, -90, -90, left, 1, open, open, 7.751093, 5.392235, -142.8893, 0.8354492, 1435.568
179, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, -2.391113, 2.971838, 41.35543, 0.9329834, 1438.965
180, NeutralMooreLot, 0, MooreLot, 90, -90, right, 4, closed, closed, 9.318, 4.469576, 30.07187, 1.002441, 1442.473
181, Maynard, 0, Maynard, 90, 90, left, 3, closed, closed, 0.3340544, -0.08267212, 129.825, 0.9051514, 1445.815
182, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, right, 3, closed, closed, 8.445439, 6.517071, 28.95566, 0.9746094, 1449.254
183, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, right, 3, closed, closed, 6.92116, 2.622806, -33.13077, 0.7518311, 1452.47
184, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, 10.83501, 2.975202, -130.46, 0.7657471, 1455.672
185, Neutral53Commons, 0, 53Commons, 90, 90, left, 4, open, open, 4.147956, 1.08531, 112.3229, 1.044312, 1459.208
186, NeutralUmplebys, 0, Umplebys, 40, 90, left, 4, closed, closed, -2.032501, 3.933827, 84.5542, 0.9609375, 1462.633
187, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, 7.54188, 4.533307, 45.85583, 0.6542969, 1465.765
188, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, -0.1245117, 1.456969, 34.09565, 0.8216553, 1469.065
189, NeutralPineBackHall, 0, PineBackHall, 90, -90, left, 2, open, open, 6.398567, 6.7351, 22.53876, 1.099976, 1472.685
190, NeutralMaynard, 0, Maynard, 90, 90, left, 4, closed, closed, -0.9119263, 3.560057, 141.9516, 0.9191895, 1476.096
191, NeutralBakerBerry2nd, 0, BakerBerry2nd, 4, -90, right, 4, closed, closed, 6.462011, 7.141392, -52.75055, 0.8354492, 1479.381
192, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, closed, 5.460153, 1.593835, -102.6024, 0.9049072, 1482.723
193, Umplebys, -50, Umplebys, -140, -90, left, 1, open, open, 7.793117, 6.563148, -202.5144, 1.002319, 1486.315
194, NeutralRaunerFirst, 0, RaunerFirst, -90, -90, right, 4, closed, closed, 9.367969, 5.929236, -156.5288, 1.100098, 1489.879
195, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, right, 1, open, open, 0.7529016, 1.875502, 309.6031, 0.7657471, 1494.32
196, NeutralHop4, 0, Hop4, 87, 90, left, 4, closed, closed, 1.027365, 1.934573, 120.4639, 0.9606934, 1497.731
197, Maynard, 0, Maynard, 90, 90, right, 1, closed, closed, 1.877784, 0.9301413, 115.9418, 0.7658691, 1500.947
198, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, 0.5779254, 0.5718925, 129.0407, 0.7380371, 1504.386
199, Fairbanks, 0, Fairbanks, 90, 90, left, 3, closed, closed, 0.6821522, -0.3121643, 123.8697, 0.8353271, 1507.783
200, NeutralRollinsChapel3, 0, RollinsChapel3, 267, 90, left, 4, closed, closed, -1.813049, 4.419395, 313.38, 1.058105, 1511.291
