169, 53Commons, 0, 53Commons, -90, -90, right, 3, closed, closed, 1.247733, 0.9863036, -162.37, 1.796021, 1569.372
170, NeutralPineEntrance, 0, PineEntrance, -90, -90, left, 2, open, open, 2.88017, 1.179828, -167.9165, 1.11377, 1573.019
171, NeutralHop4, 0, Hop4, -93, -90, left, 2, open, open, 3.29431, 1.642305, -165.4183, 0.8632813, 1576.402
172, PineBackHall, 180, PineBackHall, 90, -90, right, 3, open, closed, 5.511201, 0.9054516, 6.48114, 2.102173, 1580.676
173, PineEntrance, 0, PineEntrance, -90, -90, right, 3, open, open, 4.479767, 1.294332, -166.0223, 4.079224, 1587.248
174, NeutralRaunerFirst, 0, RaunerFirst, 90, 90, right, 2, open, open, -5.551483, 0.7176647, 160.9232, 1.823975, 1592.441
175, MooreLot, 180, MooreLot, 90, -90, left, 1, closed, closed, 2.109166, 2.866943, 24.99438, 0.9466553, 1596.019
176, RaunerFirst, 0, RaunerFirst, -90, -90, right, 3, closed, closed, 3.612073, 1.716058, -159.6569, 2.227905, 1600.836
177, MooreLot, 180, MooreLot, 90, -90, right, 3, closed, closed, 5.61973, 1.363394, 21.56799, 1.740356, 1605.054
178, Maynard, 0, Maynard, -90, -90, left, 1, open, open, 5.918986, -0.2333374, -160.906, 1.266968, 1608.897
179, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, -3.723877, 0.5240313, 56.35092, 1.253052, 1612.935
180, NeutralMooreLot, 0, MooreLot, 90, -90, right, 4, closed, closed, 3.903918, -1.071594, 23.00537, 1.322632, 1616.721
181, Maynard, 0, Maynard, 90, 90, left, 3, closed, open, -2.832245, 2.049094, 152.0959, 1.573364, 1620.717
182, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, right, 3, closed, closed, 3.849489, 0.8909258, 26.48535, 1.392334, 1624.713
183, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, right, 3, closed, closed, 3.924625, 0.4641433, -64.37909, 1.573364, 1628.931
184, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, 4.726688, 0.7228085, -160.9454, 1.865479, 1633.247
185, Neutral53Commons, 0, 53Commons, 90, 90, left, 4, open, open, -2.765594, 0.3126042, 156.5864, 1.629028, 1637.34
186, NeutralUmplebys, 0, Umplebys, 40, 90, left, 4, closed, closed, -4.082916, 0.002089611, 108.8463, 2.283325, 1642.255
187, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, 5.088981, 0.2202517, 18.8569, 1.266846, 1646.278
188, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, -6.010101, 1.051043, 61.36338, 1.350586, 1650.093
189, NeutralPineBackHall, 0, PineBackHall, 90, -90, left, 2, open, open, 3.982659, -2.593597, 17.13879, 1.392334, 1654.186
190, NeutralMaynard, 0, Maynard, 90, 90, left, 4, closed, closed, -3.835236, 4.308582, 158.4921, 1.698486, 1658.6
191, NeutralBakerBerry2nd, 0, BakerBerry2nd, 4, -90, right, 4, closed, closed, 3.480571, 0.568022, -68.61737, 1.517578, 1662.721
192, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, closed, 4.716115, 0.408091, -161.1008, 1.378418, 1666.563
193, Umplebys, -50, Umplebys, -140, -90, left, 1, open, open, 3.756559, 1.52253, -210.2238, 1.420044, 1670.406
194, NeutralRaunerFirst, 0, RaunerFirst, -90, -90, right, 4, closed, closed, 5.668618, 1.013304, -159.3296, 1.141602, 1673.998
195, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, right, 1, open, open, -4.687866, 3.610915, 338.478, 1.61499, 1678.063
196, NeutralHop4, 0, Hop4, 87, 90, left, 4, closed, closed, -5.619934, 4.210177, 152.4307, 2.394531, 1682.908
197, Maynard, 0, Maynard, 90, 90, right, 1, closed, closed, -4.897064, 3.157481, 160.6998, 1.44812, 1686.82
198, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, -6.030212, 3.911433, 156.5801, 1.65686, 1690.816
199, Fairbanks, 0, Fairbanks, 90, 90, left, 3, closed, closed, -5.004486, -0.5148621, 106.2836, 2.171875, 1695.661
200, NeutralRollinsChapel3, 0, RollinsChapel3, 267, 90, left, 4, closed, closed, -4.454193, 5.775708, 340.891, 1.587402, 1699.81
201, NeutralHop4, 0, Hop4, 87, 90, right, 2, closed, closed, -5.596497, 3.344667, 153.2566, 1.378296, 1703.652
202, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, open, 4.150828, 0.165738, -158.8467, 1.629028, 1707.62
203, NeutralMooreLot, 0, MooreLot, 90, -90, left, 2, closed, closed, 2.226964, -0.8378601, 21.72888, 1.280884, 1712.256
204, Hop2, -1, Hop2, -91, -90, right, 3, closed, closed, 2.704683, 0.6689427, -160.2644, 1.225098, 1715.946
205, PineBackHall, 180, PineBackHall, 90, -90, left, 1, open, closed, 5.996903, 1.621238, 14.91309, 1.532227, 1719.872
