2, Fairbanks, Fairbanks, -90, -90, left, 2.962475, 8.062179, -168.6016, 20211005, 15:28:39.33376, 694.5728
2, Fairbanks, Fairbanks, -90, -90, left, 3.000022, 8.218244, -169.0682, 20211005, 15:28:39.34758, 694.5867
2, Fairbanks, Fairbanks, -90, -90, left, 2.968917, 8.357787, -169.4693, 20211005, 15:28:39.36160, 694.6006
2, Fairbanks, Fairbanks, -90, -90, left, 2.948725, 8.478893, -169.8482, 20211005, 15:28:39.37514, 694.6144
2, Fairbanks, Fairbanks, -90, -90, left, 3.023812, 8.600084, -170.1587, 20211005, 15:28:39.38945, 694.6285
2, Fairbanks, Fairbanks, -90, -90, left, 3.114822, 8.697028, -170.4311, 20211005, 15:28:39.40341, 694.6424
2, Fairbanks, Fairbanks, -90, -90, left, 3.177035, 8.78698, -170.6846, 20211005, 15:28:39.41701, 694.6563
2, Fairbanks, Fairbanks, -90, -90, left, 3.175802, 8.887502, -170.8942, 20211005, 15:28:39.43116, 694.6701
2, Fairbanks, Fairbanks, -90, -90, left, 3.174696, 8.949106, -171.077, 20211005, 15:28:39.44513, 694.6841
2, Fairbanks, Fairbanks, -90, -90, left, 3.178015, 9.032685, -171.2523, 20211005, 15:28:39.45877, 694.6981
2, Fairbanks, Fairbanks, -90, -90, left, 3.176026, 9.140488, -171.3528, 20211005, 15:28:39.47310, 694.712
2, Fairbanks, Fairbanks, -90, -90, left, 3.189126, 9.239911, -171.4408, 20211005, 15:28:39.48692, 694.7259
2, Fairbanks, Fairbanks, -90, -90, left, 3.152622, 9.340615, -171.46, 20211005, 15:28:39.50052, 694.7398
2, Fairbanks, Fairbanks, -90, -90, left, 3.174346, 9.45518, -171.4322, 20211005, 15:28:39.51463, 694.7537
2, Fairbanks, Fairbanks, -90, -90, left, 3.200691, 9.562887, -171.386, 20211005, 15:28:39.52874, 694.7678
3, Hop2, Hop2, 89, 90, left, 0.8096026, 4.761319, 81.3606, 20211005, 15:28:43.94207, 699.1812
3, Hop2, Hop2, 89, 90, left, 0.9697163, 4.792133, 80.81793, 20211005, 15:28:43.95558, 699.1949
3, Hop2, Hop2, 89, 90, left, 1.136186, 4.84736, 80.35266, 20211005, 15:28:43.96985, 699.2089
3, Hop2, Hop2, 89, 90, left, 1.334813, 4.89603, 79.96317, 20211005, 15:28:43.98378, 699.2227
3, Hop2, Hop2, 89, 90, left, 1.540581, 4.94599, 79.57892, 20211005, 15:28:43.99727, 699.2366
3, Hop2, Hop2, 89, 90, left, 1.684814, 4.964062, 79.18671, 20211005, 15:28:44.01178, 699.2507
3, Hop2, Hop2, 89, 90, left, 1.812457, 5.0368, 78.82327, 20211005, 15:28:44.02566, 699.2648
3, Hop2, Hop2, 89, 90, left, 1.938469, 5.052597, 78.49524, 20211005, 15:28:44.03942, 699.2786
3, Hop2, Hop2, 89, 90, left, 1.972096, 5.074919, 78.13184, 20211005, 15:28:44.05336, 699.2924
3, Hop2, Hop2, 89, 90, left, 1.965629, 5.091287, 77.70746, 20211005, 15:28:44.06732, 699.3063
3, Hop2, Hop2, 89, 90, left, 1.883609, 5.084385, 77.19748, 20211005, 15:28:44.08111, 699.3201
3, Hop2, Hop2, 89, 90, left, 1.757472, 5.099757, 76.68716, 20211005, 15:28:44.09480, 699.3342
3, Hop2, Hop2, 89, 90, left, 1.657011, 5.139529, 76.23853, 20211005, 15:28:44.10910, 699.3481
3, Hop2, Hop2, 89, 90, left, 1.5652, 5.179743, 75.79944, 20211005, 15:28:44.12302, 699.3621
3, Hop2, Hop2, 89, 90, left, 1.47736, 5.219812, 75.41248, 20211005, 15:28:44.13658, 699.3759
3, Hop2, Hop2, 89, 90, left, 1.449561, 5.223976, 75.11215, 20211005, 15:28:44.15095, 699.3899
3, Hop2, Hop2, 89, 90, left, 1.484907, 5.200019, 74.86237, 20211005, 15:28:44.16485, 699.4037
3, Hop2, Hop2, 89, 90, left, 1.524064, 5.170502, 74.65054, 20211005, 15:28:44.17831, 699.4177
3, Hop2, Hop2, 89, 90, left, 1.588978, 5.171329, 74.56598, 20211005, 15:28:44.19260, 699.4317
3, Hop2, Hop2, 89, 90, left, 1.696563, 5.179404, 74.45682, 20211005, 15:28:44.20662, 699.4456
3, Hop2, Hop2, 89, 90, left, 1.734606, 5.181896, 74.36557, 20211005, 15:28:44.22015, 699.4595
3, Hop2, Hop2, 89, 90, left, 1.756405, 5.208514, 74.32233, 20211005, 15:28:44.23439, 699.4734
3, Hop2, Hop2, 89, 90, left, 1.809048, 5.237197, 74.40152, 20211005, 15:28:44.24821, 699.4872
3, Hop2, Hop2, 89, 90, left, 1.828597, 5.249723, 74.61108, 20211005, 15:28:44.26221, 699.5012
3, Hop2, Hop2, 89, 90, left, 1.925445, 5.294536, 74.96539, 20211005, 15:28:44.27588, 699.5153
3, Hop2, Hop2, 89, 90, left, 1.904519, 5.316117, 75.50256, 20211005, 15:28:44.29006, 699.5291
3, Hop2, Hop2, 89, 90, left, 1.793041, 5.288584, 76.57553, 20211005, 15:28:44.30400, 699.543
3, Hop2, Hop2, 89, 90, left, 1.789571, 5.304279, 78.1828, 20211005, 15:28:44.31764, 699.5569
3, Hop2, Hop2, 89, 90, left, 1.986823, 5.301429, 80.23758, 20211005, 15:28:44.33186, 699.5709
3, Hop2, Hop2, 89, 90, left, 2.161632, 5.217268, 82.3114, 20211005, 15:28:44.34565, 699.5847
3, Hop2, Hop2, 89, 90, left, 2.197023, 5.090428, 84.21704, 20211005, 15:28:44.35932, 699.5986
3, Hop2, Hop2, 89, 90, left, 2.237051, 4.920713, 86.32913, 20211005, 15:28:44.37358, 699.6127
3, Hop2, Hop2, 89, 90, left, 2.308619, 4.818791, 88.54602, 20211005, 15:28:44.38752, 699.6265
3, Hop2, Hop2, 89, 90, left, 2.317549, 4.749113, 90.74485, 20211005, 15:28:44.40152, 699.6405
3, Hop2, Hop2, 89, 90, left, 2.261255, 4.671576, 92.927, 20211005, 15:28:44.41500, 699.6544
3, Hop2, Hop2, 89, 90, left, 2.16021, 4.712418, 95.04656, 20211005, 15:28:44.42925, 699.6683
3, Hop2, Hop2, 89, 90, left, 2.07462, 4.803571, 97.07455, 20211005, 15:28:44.44324, 699.6823
3, Hop2, Hop2, 89, 90, left, 1.999276, 4.892293, 99.09451, 20211005, 15:28:44.45696, 699.6962
3, Hop2, Hop2, 89, 90, left, 1.97517, 4.928533, 101.0643, 20211005, 15:28:44.47104, 699.7101
3, Hop2, Hop2, 89, 90, left, 1.997545, 4.943121, 102.9325, 20211005, 15:28:44.48511, 699.7241
3, Hop2, Hop2, 89, 90, left, 2.041572, 4.93784, 104.7094, 20211005, 15:28:44.49851, 699.7378
3, Hop2, Hop2, 89, 90, left, 1.920829, 4.966165, 106.5288, 20211005, 15:28:44.51283, 699.7519
3, Hop2, Hop2, 89, 90, left, 1.818853, 5.041466, 108.381, 20211005, 15:28:44.52676, 699.7658
3, Hop2, Hop2, 89, 90, left, 1.789883, 5.151923, 110.2992, 20211005, 15:28:44.54049, 699.7798
3, Hop2, Hop2, 89, 90, left, 1.793217, 5.256455, 112.3571, 20211005, 15:28:44.55458, 699.7936
3, Hop2, Hop2, 89, 90, left, 1.796623, 5.363693, 114.4847, 20211005, 15:28:44.56851, 699.8076
3, Hop2, Hop2, 89, 90, left, 1.814113, 5.446985, 116.6999, 20211005, 15:28:44.58251, 699.8215
3, Hop2, Hop2, 89, 90, left, 1.84357, 5.428792, 118.8621, 20211005, 15:28:44.59604, 699.8353
3, Hop2, Hop2, 89, 90, left, 1.829269, 5.479789, 120.9388, 20211005, 15:28:44.61023, 699.8492
3, Hop2, Hop2, 89, 90, left, 1.878144, 5.628767, 123.0129, 20211005, 15:28:44.62414, 699.8632
3, Hop2, Hop2, 89, 90, left, 1.9259, 5.799792, 125.0138, 20211005, 15:28:44.63783, 699.8771
3, Hop2, Hop2, 89, 90, left, 1.993128, 5.954822, 126.9053, 20211005, 15:28:44.65227, 699.8913
3, Hop2, Hop2, 89, 90, left, 2.079414, 6.091526, 128.6545, 20211005, 15:28:44.66628, 699.9053
3, Hop2, Hop2, 89, 90, left, 2.204806, 6.164252, 130.3306, 20211005, 15:28:44.67959, 699.9189
3, Hop2, Hop2, 89, 90, left, 2.245021, 6.22144, 131.9034, 20211005, 15:28:44.69376, 699.9328
