0, McLaughlinCluster, study, 0, 0, study, -1.503265, 1.834708, -18.71719, 20210928, 17:00:22.44457, 23.80161
0, McLaughlinCluster, study, 0, 0, study, -1.49707, 1.584632, -20.28198, 20210928, 17:00:22.45832, 23.81561
0, McLaughlinCluster, study, 0, 0, study, -1.516174, 1.369631, -21.82117, 20210928, 17:00:22.47245, 23.82953
0, McLaughlinCluster, study, 0, 0, study, -1.464966, 1.204172, -23.34186, 20210928, 17:00:22.48652, 23.84344
0, McLaughlinCluster, study, 0, 0, study, -1.340485, 1.058556, -24.81253, 20210928, 17:00:22.50016, 23.8574
0, McLaughlinCluster, study, 0, 0, study, -1.170288, 0.8830057, -26.29947, 20210928, 17:00:22.51427, 23.87118
0, McLaughlinCluster, study, 0, 0, study, -1.049683, 0.6441937, -27.77609, 20210928, 17:00:22.52828, 23.88525
0, McLaughlinCluster, study, 0, 0, study, -1.001892, 0.4413652, -29.1467, 20210928, 17:00:22.54217, 23.89918
0, McLaughlinCluster, study, 0, 0, study, -0.9389343, 0.314691, -30.39584, 20210928, 17:00:22.55646, 23.91312
0, McLaughlinCluster, study, 0, 0, study, -0.8638916, 0.2206881, -31.55414, 20210928, 17:00:22.57000, 23.92705
0, McLaughlinCluster, study, 0, 0, study, -0.8235779, 0.1377481, -32.65475, 20210928, 17:00:22.58379, 23.94091
0, McLaughlinCluster, study, 0, 0, study, -0.7618103, 0.03057814, -33.74286, 20210928, 17:00:22.59738, 23.95473
0, McLaughlinCluster, study, 0, 0, study, -0.7050476, -0.004970137, -34.73621, 20210928, 17:00:22.61170, 23.96876
0, McLaughlinCluster, study, 0, 0, study, -0.6264038, -0.06994629, -35.69888, 20210928, 17:00:22.62557, 23.98265
0, McLaughlinCluster, study, 0, 0, study, -0.5006714, -0.1653442, -36.67841, 20210928, 17:00:22.63944, 23.99672
0, McLaughlinCluster, study, 0, 0, study, -0.3473816, -0.2631531, -37.71002, 20210928, 17:00:22.65356, 24.01062
0, McLaughlinCluster, study, 0, 0, study, -0.2822266, -0.3600159, -38.76804, 20210928, 17:00:22.66768, 24.02468
0, McLaughlinCluster, study, 0, 0, study, -0.250946, -0.4772949, -39.85687, 20210928, 17:00:22.68103, 24.0384
0, McLaughlinCluster, study, 0, 0, study, -0.2276917, -0.563324, -40.98035, 20210928, 17:00:22.69531, 24.05232
0, McLaughlinCluster, study, 0, 0, study, -0.1991272, -0.6434631, -42.11288, 20210928, 17:00:22.70924, 24.06616
0, McLaughlinCluster, study, 0, 0, study, -0.2012024, -0.7315979, -43.3017, 20210928, 17:00:22.72316, 24.08027
0, McLaughlinCluster, study, 0, 0, study, -0.123291, -0.8338928, -44.55609, 20210928, 17:00:22.73691, 24.09417
0, McLaughlinCluster, study, 0, 0, study, -0.05319214, -0.9025574, -45.91287, 20210928, 17:00:22.75096, 24.10805
0, McLaughlinCluster, study, 0, 0, study, -0.1065063, -0.9773254, -47.25778, 20210928, 17:00:22.76494, 24.12197
0, McLaughlinCluster, study, 0, 0, study, -0.1895752, -1.059631, -48.51257, 20210928, 17:00:22.77846, 24.13583
0, McLaughlinCluster, study, 0, 0, study, -0.2546692, -1.116058, -49.72192, 20210928, 17:00:22.79266, 24.14974
0, McLaughlinCluster, study, 0, 0, study, -0.3054504, -1.117096, -50.89618, 20210928, 17:00:22.80661, 24.16367
0, McLaughlinCluster, study, 0, 0, study, -0.4412537, -1.163666, -52.04208, 20210928, 17:00:22.82030, 24.17768
0, McLaughlinCluster, study, 0, 0, study, -0.65625, -1.219757, -53.08435, 20210928, 17:00:22.83461, 24.19161
0, McLaughlinCluster, study, 0, 0, study, -0.8732605, -1.290222, -53.95212, 20210928, 17:00:22.84848, 24.20548
0, McLaughlinCluster, study, 0, 0, study, -1.011353, -1.353729, -54.65869, 20210928, 17:00:22.86196, 24.21931
0, McLaughlinCluster, study, 0, 0, study, -1.015472, -1.477173, -55.20929, 20210928, 17:00:22.87626, 24.23333
0, McLaughlinCluster, study, 0, 0, study, -0.9438782, -1.626099, -55.78293, 20210928, 17:00:22.89045, 24.24736
0, McLaughlinCluster, study, 0, 0, study, -0.8484802, -1.730927, -56.36594, 20210928, 17:00:22.90411, 24.26113
0, McLaughlinCluster, study, 0, 0, study, -0.7690735, -1.892883, -56.97839, 20210928, 17:00:22.91771, 24.27503
0, McLaughlinCluster, study, 0, 0, study, -0.7333984, -2.135834, -57.5098, 20210928, 17:00:22.93184, 24.28884
0, McLaughlinCluster, study, 0, 0, study, -0.7098694, -2.390747, -57.98801, 20210928, 17:00:22.94579, 24.3028
0, McLaughlinCluster, study, 0, 0, study, -0.661438, -2.641327, -58.51572, 20210928, 17:00:22.95955, 24.31681
0, McLaughlinCluster, study, 0, 0, study, -0.5557251, -2.868469, -59.13101, 20210928, 17:00:22.97368, 24.33067
0, McLaughlinCluster, study, 0, 0, study, -0.4089966, -3.139984, -59.85806, 20210928, 17:00:22.98766, 24.34469
0, McLaughlinCluster, study, 0, 0, study, -0.2944031, -3.408203, -60.60919, 20210928, 17:00:23.00143, 24.35871
0, McLaughlinCluster, study, 0, 0, study, -0.1891479, -3.665527, -61.42755, 20210928, 17:00:23.01558, 24.37267
0, McLaughlinCluster, study, 0, 0, study, -0.1026611, -3.870453, -62.2395, 20210928, 17:00:23.02959, 24.38635
0, McLaughlinCluster, study, 0, 0, study, -0.002889887, -4.022888, -63.08569, 20210928, 17:00:23.04354, 24.40032
0, McLaughlinCluster, study, 0, 0, study, 0.07787899, -4.113342, -63.95145, 20210928, 17:00:23.05717, 24.41426
0, McLaughlinCluster, study, 0, 0, study, 0.0493707, -4.229034, -64.77737, 20210928, 17:00:23.07113, 24.42823
0, McLaughlinCluster, study, 0, 0, study, -0.04034424, -4.296021, -65.52686, 20210928, 17:00:23.08553, 24.44217
0, McLaughlinCluster, study, 0, 0, study, -0.1987, -4.286682, -66.2099, 20210928, 17:00:23.09859, 24.45587
0, McLaughlinCluster, study, 0, 0, study, -0.171875, -4.230896, -66.93631, 20210928, 17:00:23.11291, 24.46987
0, McLaughlinCluster, study, 0, 0, study, 0.09199762, -4.15033, -67.73224, 20210928, 17:00:23.12707, 24.48398
0, McLaughlinCluster, study, 0, 0, study, 0.3398713, -4.141052, -68.51291, 20210928, 17:00:23.14051, 24.49782
0, McLaughlinCluster, study, 0, 0, study, 0.5060967, -4.256775, -69.25436, 20210928, 17:00:23.15471, 24.51174
0, McLaughlinCluster, study, 0, 0, study, 0.6527305, -4.396729, -69.90536, 20210928, 17:00:23.16858, 24.52561
0, McLaughlinCluster, study, 0, 0, study, 0.8441252, -4.500671, -70.56238, 20210928, 17:00:23.18227, 24.53956
0, McLaughlinCluster, study, 0, 0, study, 1.040279, -4.62204, -71.22748, 20210928, 17:00:23.19691, 24.55396
0, McLaughlinCluster, study, 0, 0, study, 1.172047, -4.75647, -71.92404, 20210928, 17:00:23.21044, 24.56744
0, McLaughlinCluster, study, 0, 0, study, 1.403592, -4.932159, -72.67987, 20210928, 17:00:23.22430, 24.58133
0, McLaughlinCluster, study, 0, 0, study, 1.676187, -5.167328, -73.50531, 20210928, 17:00:23.23801, 24.59533
