0, McLaughlinCluster, study, 0, 0, study, -5.995483, 10.61228, 25.47655, 20210824, 19:49:22.78133, 13.55514
0, McLaughlinCluster, study, 0, 0, study, -6.032227, 10.48578, 25.61471, 20210824, 19:49:22.79562, 13.56918
0, McLaughlinCluster, study, 0, 0, study, -6.07074, 10.37732, 25.75585, 20210824, 19:49:22.80973, 13.58304
0, McLaughlinCluster, study, 0, 0, study, -6.11087, 10.30662, 25.90043, 20210824, 19:49:22.82311, 13.59692
0, McLaughlinCluster, study, 0, 0, study, -6.104706, 10.19942, 26.10343, 20210824, 19:49:22.83741, 13.61092
0, McLaughlinCluster, study, 0, 0, study, -6.099731, 10.09526, 26.33129, 20210824, 19:49:22.85106, 13.62471
0, McLaughlinCluster, study, 0, 0, study, -6.122375, 9.989872, 26.59151, 20210824, 19:49:22.86512, 13.63879
0, McLaughlinCluster, study, 0, 0, study, -6.128754, 9.886443, 26.83924, 20210824, 19:49:22.87921, 13.65275
0, McLaughlinCluster, study, 0, 0, study, -6.108063, 9.798781, 27.0922, 20210824, 19:49:22.89305, 13.6666
0, McLaughlinCluster, study, 0, 0, study, -6.051086, 9.744761, 27.34042, 20210824, 19:49:22.90696, 13.68057
0, McLaughlinCluster, study, 0, 0, study, -6.004913, 9.660778, 27.59075, 20210824, 19:49:22.92048, 13.69426
0, McLaughlinCluster, study, 0, 0, study, -5.957397, 9.539097, 27.8336, 20210824, 19:49:22.93522, 13.70851
0, McLaughlinCluster, study, 0, 0, study, -5.938263, 9.408746, 28.08316, 20210824, 19:49:22.94896, 13.72224
0, McLaughlinCluster, study, 0, 0, study, -5.93219, 9.305727, 28.32418, 20210824, 19:49:22.96248, 13.73624
0, McLaughlinCluster, study, 0, 0, study, -5.886566, 9.222373, 28.5208, 20210824, 19:49:22.97666, 13.75026
0, McLaughlinCluster, study, 0, 0, study, -5.848083, 9.178696, 28.69005, 20210824, 19:49:22.99042, 13.76403
0, McLaughlinCluster, study, 0, 0, study, -5.767731, 9.080553, 28.83308, 20210824, 19:49:23.00417, 13.77801
0, McLaughlinCluster, study, 0, 0, study, -5.742218, 8.989205, 28.95867, 20210824, 19:49:23.01815, 13.79175
0, McLaughlinCluster, study, 0, 0, study, -5.754761, 8.895426, 29.07111, 20210824, 19:49:23.03226, 13.80582
0, McLaughlinCluster, study, 0, 0, study, -5.762939, 8.80675, 29.19105, 20210824, 19:49:23.04609, 13.81993
0, McLaughlinCluster, study, 0, 0, study, -5.788971, 8.734876, 29.25247, 20210824, 19:49:23.06017, 13.83377
0, McLaughlinCluster, study, 0, 0, study, -5.80365, 8.656599, 29.28667, 20210824, 19:49:23.07409, 13.84769
0, McLaughlinCluster, study, 0, 0, study, -5.834229, 8.600132, 29.27126, 20210824, 19:49:23.08775, 13.86132
0, McLaughlinCluster, study, 0, 0, study, -5.857361, 8.577014, 29.22403, 20210824, 19:49:23.10167, 13.87547
0, McLaughlinCluster, study, 0, 0, study, -5.88269, 8.540504, 29.13176, 20210824, 19:49:23.11615, 13.88949
0, McLaughlinCluster, study, 0, 0, study, -5.916901, 8.518607, 29.02108, 20210824, 19:49:23.12981, 13.90336
0, McLaughlinCluster, study, 0, 0, study, -5.922821, 8.435291, 28.90833, 20210824, 19:49:23.14352, 13.91728
0, McLaughlinCluster, study, 0, 0, study, -5.964844, 8.40104, 28.7673, 20210824, 19:49:23.15756, 13.9311
0, McLaughlinCluster, study, 0, 0, study, -5.976379, 8.344494, 28.60591, 20210824, 19:49:23.17150, 13.94511
0, McLaughlinCluster, study, 0, 0, study, -5.98053, 8.311509, 28.45866, 20210824, 19:49:23.18497, 13.9588
0, McLaughlinCluster, study, 0, 0, study, -5.982758, 8.283242, 28.29318, 20210824, 19:49:23.19935, 13.97295
0, McLaughlinCluster, study, 0, 0, study, -5.986053, 8.226632, 28.1215, 20210824, 19:49:23.21356, 13.98688
0, McLaughlinCluster, study, 0, 0, study, -5.983398, 8.171494, 27.95756, 20210824, 19:49:23.22731, 14.00086
0, McLaughlinCluster, study, 0, 0, study, -5.961029, 8.085842, 27.78515, 20210824, 19:49:23.24088, 14.01471
0, McLaughlinCluster, study, 0, 0, study, -5.922485, 8.05554, 27.60352, 20210824, 19:49:23.25529, 14.02856
0, McLaughlinCluster, study, 0, 0, study, -5.883148, 7.974761, 27.38953, 20210824, 19:49:23.26931, 14.04261
0, McLaughlinCluster, study, 0, 0, study, -5.91452, 7.920696, 27.19078, 20210824, 19:49:23.28276, 14.05639
0, McLaughlinCluster, study, 0, 0, study, -5.931183, 7.877467, 27.00434, 20210824, 19:49:23.29706, 14.07037
0, McLaughlinCluster, study, 0, 0, study, -5.935242, 7.858069, 26.77503, 20210824, 19:49:23.31086, 14.08433
0, McLaughlinCluster, study, 0, 0, study, -5.938202, 7.804328, 26.55007, 20210824, 19:49:23.32436, 14.09817
0, McLaughlinCluster, study, 0, 0, study, -5.911926, 7.748924, 26.31068, 20210824, 19:49:23.33860, 14.1122
0, McLaughlinCluster, study, 0, 0, study, -5.897949, 7.713439, 26.05346, 20210824, 19:49:23.35272, 14.12597
0, McLaughlinCluster, study, 0, 0, study, -5.876343, 7.683079, 25.79767, 20210824, 19:49:23.36678, 14.14018
0, McLaughlinCluster, study, 0, 0, study, -5.879669, 7.653867, 25.54786, 20210824, 19:49:23.38091, 14.1547
0, McLaughlinCluster, study, 0, 0, study, -5.86676, 7.655789, 25.27268, 20210824, 19:49:23.39446, 14.168
0, McLaughlinCluster, study, 0, 0, study, -5.858826, 7.646057, 24.97886, 20210824, 19:49:23.40830, 14.1818
0, McLaughlinCluster, study, 0, 0, study, -5.859039, 7.630335, 24.69541, 20210824, 19:49:23.42181, 14.19559
0, McLaughlinCluster, study, 0, 0, study, -5.850067, 7.575011, 24.42556, 20210824, 19:49:23.43612, 14.20968
0, McLaughlinCluster, study, 0, 0, study, -5.836273, 7.517068, 24.13717, 20210824, 19:49:23.44987, 14.22347
0, McLaughlinCluster, study, 0, 0, study, -5.853577, 7.495636, 23.85292, 20210824, 19:49:23.46389, 14.23763
0, McLaughlinCluster, study, 0, 0, study, -5.848358, 7.473074, 23.55279, 20210824, 19:49:23.47789, 14.25144
0, McLaughlinCluster, study, 0, 0, study, -5.86496, 7.449135, 23.2613, 20210824, 19:49:23.49175, 14.26535
0, McLaughlinCluster, study, 0, 0, study, -5.868896, 7.409829, 22.94861, 20210824, 19:49:23.50550, 14.2793
0, McLaughlinCluster, study, 0, 0, study, -5.852814, 7.334394, 22.65803, 20210824, 19:49:23.51961, 14.29308
0, McLaughlinCluster, study, 0, 0, study, -5.860413, 7.254078, 22.37905, 20210824, 19:49:23.53365, 14.3072
0, McLaughlinCluster, study, 0, 0, study, -5.851135, 7.198124, 22.08682, 20210824, 19:49:23.54767, 14.32114
0, McLaughlinCluster, study, 0, 0, study, -5.848755, 7.193883, 21.7748, 20210824, 19:49:23.56124, 14.33504
0, McLaughlinCluster, study, 0, 0, study, -5.8508, 7.161464, 21.47135, 20210824, 19:49:23.57552, 14.34901
0, McLaughlinCluster, study, 0, 0, study, -5.848572, 7.143943, 21.1637, 20210824, 19:49:23.58970, 14.36285
0, McLaughlinCluster, study, 0, 0, study, -5.850555, 7.073373, 20.84833, 20210824, 19:49:23.60310, 14.37684
0, McLaughlinCluster, study, 0, 0, study, -5.876556, 6.978832, 20.53911, 20210824, 19:49:23.61712, 14.39059
0, McLaughlinCluster, study, 0, 0, study, -5.893158, 6.921413, 20.23325, 20210824, 19:49:23.63105, 14.40459
0, McLaughlinCluster, study, 0, 0, study, -5.904053, 6.872316, 19.91728, 20210824, 19:49:23.64473, 14.41852
0, McLaughlinCluster, study, 0, 0, study, -5.917328, 6.816248, 19.62394, 20210824, 19:49:23.65901, 14.43248
0, McLaughlinCluster, study, 0, 0, study, -5.923309, 6.76375, 19.33123, 20210824, 19:49:23.67294, 14.44643
0, McLaughlinCluster, study, 0, 0, study, -5.938568, 6.690332, 19.06577, 20210824, 19:49:23.68653, 14.46009
0, McLaughlinCluster, study, 0, 0, study, -5.94516, 6.647005, 18.77981, 20210824, 19:49:23.70079, 14.47426
0, McLaughlinCluster, study, 0, 0, study, -5.955811, 6.653076, 18.48383, 20210824, 19:49:23.71492, 14.48815
0, McLaughlinCluster, study, 0, 0, study, -5.960388, 6.654474, 18.21473, 20210824, 19:49:23.72908, 14.50258
0, McLaughlinCluster, study, 0, 0, study, -5.938751, 6.647256, 17.95219, 20210824, 19:49:23.74225, 14.516
0, McLaughlinCluster, study, 0, 0, study, -5.900848, 6.579017, 17.71111, 20210824, 19:49:23.75630, 14.52985
0, McLaughlinCluster, study, 0, 0, study, -5.853943, 6.463817, 17.51238, 20210824, 19:49:23.77034, 14.54379
0, McLaughlinCluster, study, 0, 0, study, -5.835144, 6.339587, 17.31319, 20210824, 19:49:23.78396, 14.5577
0, McLaughlinCluster, study, 0, 0, study, -5.804535, 6.265394, 17.09649, 20210824, 19:49:23.79817, 14.57169
0, McLaughlinCluster, study, 0, 0, study, -5.731445, 6.241991, 16.89105, 20210824, 19:49:23.81203, 14.58555
0, McLaughlinCluster, study, 0, 0, study, -5.714111, 6.191269, 16.66529, 20210824, 19:49:23.82567, 14.59944
0, McLaughlinCluster, study, 0, 0, study, -5.741638, 6.151881, 16.46639, 20210824, 19:49:23.84001, 14.61352
0, McLaughlinCluster, study, 0, 0, study, -5.733154, 6.095451, 16.27234, 20210824, 19:49:23.85386, 14.62733
0, McLaughlinCluster, study, 0, 0, study, -5.690308, 6.051814, 16.0581, 20210824, 19:49:23.86788, 14.64135
0, McLaughlinCluster, study, 0, 0, study, -5.651794, 5.995985, 15.83464, 20210824, 19:49:23.88139, 14.65519
0, McLaughlinCluster, study, 0, 0, study, -5.627502, 5.952949, 15.61504, 20210824, 19:49:23.89570, 14.66919
0, McLaughlinCluster, study, 0, 0, study, -5.607056, 5.887859, 15.36944, 20210824, 19:49:23.90958, 14.68307
0, McLaughlinCluster, study, 0, 0, study, -5.573242, 5.866307, 15.14331, 20210824, 19:49:23.92319, 14.69699
0, McLaughlinCluster, study, 0, 0, study, -5.569031, 5.850878, 14.87441, 20210824, 19:49:23.93776, 14.71093
0, McLaughlinCluster, study, 0, 0, study, -5.52655, 5.820622, 14.62001, 20210824, 19:49:23.95121, 14.72476
0, McLaughlinCluster, study, 0, 0, study, -5.460419, 5.734903, 14.35433, 20210824, 19:49:23.96503, 14.73878
0, McLaughlinCluster, study, 0, 0, study, -5.367065, 5.625794, 14.08464, 20210824, 19:49:23.97952, 14.75269
0, McLaughlinCluster, study, 0, 0, study, -5.314484, 5.554627, 13.78747, 20210824, 19:49:23.99306, 14.76659
0, McLaughlinCluster, study, 0, 0, study, -5.286133, 5.530681, 13.49274, 20210824, 19:49:24.00726, 14.78076
0, McLaughlinCluster, study, 0, 0, study, -5.256714, 5.506973, 13.21297, 20210824, 19:49:24.02040, 14.7942
0, McLaughlinCluster, study, 0, 0, study, -5.235077, 5.44896, 12.96104, 20210824, 19:49:24.03478, 14.80834
0, McLaughlinCluster, study, 0, 0, study, -5.183716, 5.373436, 12.72218, 20210824, 19:49:24.04875, 14.82221
0, McLaughlinCluster, study, 0, 0, study, -5.152405, 5.333221, 12.49928, 20210824, 19:49:24.06243, 14.83621
0, McLaughlinCluster, study, 0, 0, study, -5.122589, 5.284809, 12.28833, 20210824, 19:49:24.07680, 14.85028
0, McLaughlinCluster, study, 0, 0, study, -5.161926, 5.220168, 12.11166, 20210824, 19:49:24.09079, 14.86423
0, McLaughlinCluster, study, 0, 0, study, -5.196136, 5.132079, 11.97762, 20210824, 19:49:24.10457, 14.87818
0, McLaughlinCluster, study, 0, 0, study, -5.235077, 5.041778, 11.88027, 20210824, 19:49:24.11865, 14.89179
0, McLaughlinCluster, study, 0, 0, study, -5.228027, 4.951539, 11.81988, 20210824, 19:49:24.13240, 14.90586
0, McLaughlinCluster, study, 0, 0, study, -5.21582, 4.908424, 11.7681, 20210824, 19:49:24.14594, 14.91971
0, McLaughlinCluster, study, 0, 0, study, -5.181122, 4.900562, 11.71844, 20210824, 19:49:24.16025, 14.93376
0, McLaughlinCluster, study, 0, 0, study, -5.147644, 4.885624, 11.68199, 20210824, 19:49:24.17421, 14.9477
0, McLaughlinCluster, study, 0, 0, study, -5.105133, 4.889134, 11.64053, 20210824, 19:49:24.18814, 14.96154
0, McLaughlinCluster, study, 0, 0, study, -5.061768, 4.87752, 11.60721, 20210824, 19:49:24.20189, 14.97556
0, McLaughlinCluster, study, 0, 0, study, -5.045837, 4.844818, 11.58955, 20210824, 19:49:24.21592, 14.98937
0, McLaughlinCluster, study, 0, 0, study, -5.032288, 4.829343, 11.58261, 20210824, 19:49:24.22990, 15.00333
0, McLaughlinCluster, study, 0, 0, study, -5.038544, 4.813234, 11.54679, 20210824, 19:49:24.24354, 15.01728
0, McLaughlinCluster, study, 0, 0, study, -5.015717, 4.820022, 11.5109, 20210824, 19:49:24.25758, 15.03108
0, McLaughlinCluster, study, 0, 0, study, -5.016205, 4.801618, 11.49527, 20210824, 19:49:24.27165, 15.04512
0, McLaughlinCluster, study, 0, 0, study, -5.006439, 4.767213, 11.48638, 20210824, 19:49:24.28525, 15.05894
