0, McLaughlinCluster, study, 0, 0, study, -1.535858, -7.210724, -50.31656, 20210825, 00:21:20.28987, 27.96349
0, McLaughlinCluster, study, 0, 0, study, -1.179413, -7.371674, -52.68512, 20210825, 00:21:20.30360, 27.97742
0, McLaughlinCluster, study, 0, 0, study, -0.8525696, -7.449402, -55.04593, 20210825, 00:21:20.31783, 27.99134
0, McLaughlinCluster, study, 0, 0, study, -0.532135, -7.585388, -57.30869, 20210825, 00:21:20.33205, 28.00549
0, McLaughlinCluster, study, 0, 0, study, -0.118042, -7.740234, -59.49295, 20210825, 00:21:20.34530, 28.01917
0, McLaughlinCluster, study, 0, 0, study, 0.4323585, -7.84137, -61.73648, 20210825, 00:21:20.35945, 28.03304
0, McLaughlinCluster, study, 0, 0, study, 1.055515, -7.915924, -64.013, 20210825, 00:21:20.37341, 28.04697
0, McLaughlinCluster, study, 0, 0, study, 1.610184, -7.957214, -66.27167, 20210825, 00:21:20.38760, 28.06099
0, McLaughlinCluster, study, 0, 0, study, 2.120584, -7.806396, -68.3822, 20210825, 00:21:20.40157, 28.07541
0, McLaughlinCluster, study, 0, 0, study, 2.614368, -7.603058, -70.38278, 20210825, 00:21:20.41533, 28.08884
0, McLaughlinCluster, study, 0, 0, study, 3.06663, -7.408844, -72.15289, 20210825, 00:21:20.42912, 28.10271
0, McLaughlinCluster, study, 0, 0, study, 3.530657, -7.190796, -73.79608, 20210825, 00:21:20.44288, 28.11668
0, McLaughlinCluster, study, 0, 0, study, 3.982469, -6.978394, -75.34042, 20210825, 00:21:20.45704, 28.13058
0, McLaughlinCluster, study, 0, 0, study, 4.360632, -6.795837, -76.66718, 20210825, 00:21:20.47106, 28.14466
0, McLaughlinCluster, study, 0, 0, study, 4.651879, -6.58017, -77.75754, 20210825, 00:21:20.48470, 28.15852
0, McLaughlinCluster, study, 0, 0, study, 4.918723, -6.308502, -78.69391, 20210825, 00:21:20.49906, 28.17237
0, McLaughlinCluster, study, 0, 0, study, 5.192512, -5.974152, -79.39114, 20210825, 00:21:20.51268, 28.18628
0, McLaughlinCluster, study, 0, 0, study, 5.505765, -5.642212, -79.85553, 20210825, 00:21:20.52667, 28.20016
0, McLaughlinCluster, study, 0, 0, study, 5.895903, -5.27771, -80.18103, 20210825, 00:21:20.54050, 28.21417
0, McLaughlinCluster, study, 0, 0, study, 6.33162, -4.959778, -80.40393, 20210825, 00:21:20.55444, 28.22802
0, McLaughlinCluster, study, 0, 0, study, 6.793484, -4.644348, -80.63239, 20210825, 00:21:20.56868, 28.24217
0, McLaughlinCluster, study, 0, 0, study, 7.228364, -4.343414, -80.79419, 20210825, 00:21:20.58208, 28.25592
0, McLaughlinCluster, study, 0, 0, study, 7.65996, -4.065094, -80.99854, 20210825, 00:21:20.59730, 28.27003
0, McLaughlinCluster, study, 0, 0, study, 7.943903, -3.878143, -80.95245, 20210825, 00:21:20.65253, 28.32535
0, McLaughlinCluster, study, 0, 0, study, 8.950672, -3.07074, -81.78168, 20210825, 00:21:20.65396, 28.32784
0, McLaughlinCluster, study, 0, 0, study, 9.121357, -2.814331, -82.02075, 20210825, 00:21:20.66572, 28.33957
0, McLaughlinCluster, study, 0, 0, study, 9.111629, -2.596283, -82.20694, 20210825, 00:21:20.68013, 28.3535
0, McLaughlinCluster, study, 0, 0, study, 9.112818, -2.386383, -82.35681, 20210825, 00:21:20.69386, 28.3673
0, McLaughlinCluster, study, 0, 0, study, 9.157403, -2.128967, -82.56018, 20210825, 00:21:20.70792, 28.38138
0, McLaughlinCluster, study, 0, 0, study, 9.114173, -1.887451, -82.78918, 20210825, 00:21:20.72152, 28.39525
0, McLaughlinCluster, study, 0, 0, study, 9.053542, -1.690155, -82.97519, 20210825, 00:21:20.73574, 28.40925
0, McLaughlinCluster, study, 0, 0, study, 9.254233, -1.435272, -83.23959, 20210825, 00:21:20.74947, 28.42303
0, McLaughlinCluster, study, 0, 0, study, 9.477386, -1.151855, -83.5564, 20210825, 00:21:20.76308, 28.43691
0, McLaughlinCluster, study, 0, 0, study, 9.440122, -0.8869629, -83.8551, 20210825, 00:21:20.77770, 28.45084
0, McLaughlinCluster, study, 0, 0, study, 9.221827, -0.7191467, -84.07724, 20210825, 00:21:20.79147, 28.4649
0, McLaughlinCluster, study, 0, 0, study, 9.156005, -0.5872498, -84.29736, 20210825, 00:21:20.80499, 28.47879
0, McLaughlinCluster, study, 0, 0, study, 9.312304, -0.582428, -84.67401, 20210825, 00:21:20.81916, 28.49264
0, McLaughlinCluster, study, 0, 0, study, 9.428693, -0.5121765, -85.20392, 20210825, 00:21:20.83321, 28.50663
0, McLaughlinCluster, study, 0, 0, study, 9.308159, -0.3926086, -85.85474, 20210825, 00:21:20.84716, 28.52059
0, McLaughlinCluster, study, 0, 0, study, 9.046348, -0.201416, -86.43335, 20210825, 00:21:20.86065, 28.53437
0, McLaughlinCluster, study, 0, 0, study, 8.981571, -0.00668335, -87.02264, 20210825, 00:21:20.87481, 28.54829
0, McLaughlinCluster, study, 0, 0, study, 9.089899, 0.01911727, -87.7121, 20210825, 00:21:20.88866, 28.56218
0, McLaughlinCluster, study, 0, 0, study, 9.187391, 0.04429207, -88.53452, 20210825, 00:21:20.90243, 28.57622
