136, NeutralZimmerman, 0, Zimmerman, -190, -90, right, 4, closed, closed, 7.761507, 5.139942, -265.215, 0.9608154, 1339.775
137, Maynard, 0, Maynard, -90, -90, left, 1, open, open, 5.859966, -4.905792, -96.4339, 0.6405029, 1342.81
138, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 90, -90, left, 2, closed, closed, 8.415918, 7.469417, 17.3515, 0.9329834, 1346.305
139, RollinsChapel3, 177, RollinsChapel3, 267, 90, right, 1, closed, closed, -6.06897, 11.39292, 330.6282, 0.9609375, 1349.563
140, Fairbanks, 0, Fairbanks, 90, 90, right, 1, closed, closed, -7.799042, 2.479162, 141.57, 0.6265869, 1352.458
141, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, 4.481084, 6.182953, 16.4592, 0.7519531, 1356.287
142, NeutralRaunerBackHall, 0, RaunerBackHall, 90, 90, right, 2, open, open, -7.457825, 7.25224, 158.6831, 1.114014, 1359.782
143, NeutralFairbanks, 0, Fairbanks, -90, -90, left, 2, open, open, 7.254173, 4.748224, -161.5703, 0.9746094, 1363.374
144, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -9.110046, 6.54838, 161.2094, 0.6821289, 1366.812
145, NeutralPineBackHall, 0, PineBackHall, 90, -90, right, 4, open, closed, 2.416544, 5.780694, 19.76007, 1.002563, 1370.251
146, NeutralHop2, 0, Hop2, -91, -90, left, 2, closed, closed, 1.069228, 5.890667, -158.9814, 0.9467773, 1373.593
147, PineBackHall, 180, PineBackHall, 270, 90, right, 1, closed, closed, -4.661194, 0.7354642, 321.4187, 0.7376709, 1376.906
148, Umplebys, -50, Umplebys, 40, 90, left, 3, closed, closed, -5.954437, 0.6882264, 76.59936, 0.682373, 1380.15
149, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, left, 3, open, closed, -7.118317, 7.457458, 335.6133, 0.779541, 1383.589
150, Neutral53Commons, 0, 53Commons, -90, -90, left, 2, closed, closed, 6.429914, 5.586314, -170.0228, 0.8214111, 1387.264
151, Hop2, -1, Hop2, -91, -90, left, 1, closed, open, 3.657167, 3.903547, -84.48489, 0.4595947, 1390.132
152, Hop4, -3, Hop4, -93, -90, left, 1, open, open, 1.478049, -0.7077332, -97.38312, 0.5151367, 1393.418
153, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, 9.559733, 5.699121, -256.256, 0.8494873, 1396.718
154, NeutralMaynard, 0, Maynard, -90, -90, left, 2, open, open, 8.979988, 4.118879, -166.196, 0.8773193, 1399.822
155, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, left, 1, open, closed, 2.099816, -0.1445618, -183.123, 0.3898926, 1402.62
156, NeutralPineEntrance, 0, PineEntrance, -90, -90, right, 4, open, open, 8.815189, 5.860693, -168.3022, 1.113892, 1406.783
157, NeutralMooreLot, 0, MooreLot, 270, 90, left, 4, open, closed, -3.644165, 3.601621, 345.8666, 1.266968, 1410.473
158, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, open, 5.840983, 1.200192, -131.1479, 0.5570068, 1417.086
159, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -7.609711, 0.3421179, 139.7503, 0.6126709, 1420.385
160, Maynard, 0, Maynard, -90, -90, right, 3, open, open, 5.816885, 0.8083013, -114.3422, 0.6682129, 1423.601
161, NeutralBakerBerryCharter, 0, BakerBerryCharter, -180, -90, right, 4, open, open, 6.797857, 5.18732, -253.3161, 1.071899, 1443.065
162, NeutralZimmerman, 0, Zimmerman, -10, 90, left, 4, open, open, -10.70047, 0.2293315, 65.04467, 1.058228, 1446.531
163, Fairbanks, 0, Fairbanks, 90, 90, right, 1, closed, closed, -11.18942, 0.7093132, 166.3964, 0.9329834, 1449.65
164, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, right, 1, open, open, -9.421692, 6.719602, 346.1176, 1.002319, 1453.089
165, NeutralRaunerFirst, 0, RaunerFirst, -90, -90, left, 2, closed, closed, 4.970025, 6.006072, -159.2167, 1.002441, 1456.723
166, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -4.920837, 3.580812, 164.4995, 0.6265869, 1459.716
167, NeutralZimmerman, 0, Zimmerman, -10, 90, right, 2, open, open, -9.611786, 0.7496774, 56.26725, 0.8354492, 1463.057
168, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, right, 3, open, closed, 6.91299, 3.734356, -239.9819, 1.030396, 1466.566
