162, NeutralZimmerman, 0, Zimmerman, -10, 90, left, 4, open, open, -4.813721, -0.6365356, 75.79884, 1.531494, 1550.588
162, NeutralZimmerman, 0, Zimmerman, -10, 90, left, 4, open, open, -4.813721, -0.6365356, 75.79884, 1.531494, 1550.588
162, NeutralZimmerman, 0, Zimmerman, -10, 90, left, 4, open, open, -4.813721, -0.6365356, 75.79884, 1.531494, 1550.588
163, Fairbanks, 0, Fairbanks, 90, 90, right, 1, closed, closed, -6.708466, 0.6877115, 177.4416, 0.5709229, 1555.753
164, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, right, 1, open, open, -9.249908, 8.375875, 362.9893, 0.9190674, 1559.067
165, NeutralRaunerFirst, 0, RaunerFirst, -90, -90, left, 2, closed, closed, 10.05392, 0.8092473, -163.0349, 0.8215332, 1562.31
165, NeutralRaunerFirst, 0, RaunerFirst, -90, -90, left, 2, closed, closed, 10.05392, 0.8092473, -163.0349, 0.8215332, 1562.31
166, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -9.978607, 1.392264, 186.4604, 0.5152588, 1565.346
166, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -9.978607, 1.392264, 186.4604, 0.5152588, 1565.346
167, NeutralZimmerman, 0, Zimmerman, -10, 90, right, 2, open, open, -9.04361, 4.427185, 84.54236, 0.7796631, 1568.562
165, NeutralRaunerFirst, 0, RaunerFirst, -90, -90, left, 2, closed, closed, 10.05392, 0.8092473, -163.0349, 0.8215332, 1562.31
167, NeutralZimmerman, 0, Zimmerman, -10, 90, right, 2, open, open, -9.04361, 4.427185, 84.54236, 0.7796631, 1568.562
166, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -9.978607, 1.392264, 186.4604, 0.5152588, 1565.346
165, NeutralRaunerFirst, 0, RaunerFirst, -90, -90, left, 2, closed, closed, 10.05392, 0.8092473, -163.0349, 0.8215332, 1562.31
166, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -9.978607, 1.392264, 186.4604, 0.5152588, 1565.346
168, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, right, 3, open, open, 4.304715, 5.221632, -262.7353, 1.420166, 1572.376
167, NeutralZimmerman, 0, Zimmerman, -10, 90, right, 2, open, open, -9.04361, 4.427185, 84.54236, 0.7796631, 1568.562
