100, NeutralHop2, 0, Hop2, -91, -90, right, 4, closed, closed, 4.244236, -6.174438, -154.5787, 1.281006, 1252.982
101, MooreLot, 180, MooreLot, 270, 90, left, 3, open, open, -5.355713, -6.314911, 343.7431, 1.47583, 1257.297
102, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, closed, 2.566342, -3.70285, -155.1264, 1.50354, 1261.488
103, PineBackHall, 180, PineBackHall, 270, 90, left, 3, closed, closed, -3.760651, -3.756653, 351.4777, 1.322632, 1265.484
103, PineBackHall, 180, PineBackHall, 270, 90, left, 3, closed, closed, -3.760651, -3.756653, 351.4777, 1.322632, 1265.484
104, Hop4, -3, Hop4, 87, 90, left, 3, closed, closed, -3.567932, -4.660522, 166.6919, 1.030151, 1269.521
104, Hop4, -3, Hop4, 87, 90, left, 3, closed, closed, -3.567932, -4.660522, 166.6919, 1.030151, 1269.521
105, NeutralBakerBerry2nd, 0, BakerBerry2nd, 184, 90, left, 4, open, open, -4.294769, -5.244293, 263.3552, 1.058228, 1274.018
106, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 270, 90, right, 2, open, open, -3.961639, 3.643327, 357.6761, 1.531616, 1279.058
107, NeutralHop4, 0, Hop4, -93, -90, right, 4, open, open, -1.281738, -2.176544, -162.0031, 1.5177, 1325.089
108, Maynard, 0, Maynard, 90, 90, right, 1, closed, closed, -4.737457, -5.608978, 169.3287, 1.22522, 1328.959
109, Neutral53Commons, 0, 53Commons, -90, -90, right, 4, closed, closed, 1.903155, -8.078979, -154.1611, 1.253174, 1333.052
110, RollinsChapel3, 177, RollinsChapel3, 267, 90, right, 1, closed, closed, -3.950806, -4.205017, 347.5331, 1.239014, 1338.273
111, NeutralUmplebys, 0, Umplebys, -140, -90, left, 2, open, open, 0.8655246, -4.523438, -210.8222, 1.085938, 1344.427
112, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, left, 3, closed, closed, -1.789154, -2.460724, 72.02424, 0.9329834, 1347.921
113, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -4.295532, -2.044281, 168.5316, 1.19751, 1351.68
114, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, right, 1, open, open, -4.29953, 2.307974, 343.7366, 4.190796, 1358.46
