0, McLaughlinCluster, study, 0, 0, study, 1.540121, -1.815277, 99.14828, 20211022, 11:01:08.81054, 26.58143
0, McLaughlinCluster, study, 0, 0, study, 1.594875, -1.797333, 99.22401, 20211022, 11:01:08.82422, 26.59526
0, McLaughlinCluster, study, 0, 0, study, 1.470028, -1.840851, 99.24693, 20211022, 11:01:08.83845, 26.60927
0, McLaughlinCluster, study, 0, 0, study, 1.203483, -1.984192, 99.37545, 20211022, 11:01:08.85222, 26.62301
0, McLaughlinCluster, study, 0, 0, study, 1.167079, -2.204041, 99.56458, 20211022, 11:01:08.86596, 26.63707
0, McLaughlinCluster, study, 0, 0, study, 1.354809, -2.377808, 99.70235, 20211022, 11:01:08.88014, 26.65091
0, McLaughlinCluster, study, 0, 0, study, 1.570249, -2.397278, 99.73445, 20211022, 11:01:08.89416, 26.66501
0, McLaughlinCluster, study, 0, 0, study, 1.678535, -2.31778, 99.67093, 20211022, 11:01:08.90774, 26.67883
0, McLaughlinCluster, study, 0, 0, study, 1.579726, -2.302429, 99.73962, 20211022, 11:01:08.92194, 26.69286
0, McLaughlinCluster, study, 0, 0, study, 1.327864, -2.354645, 100.0254, 20211022, 11:01:08.93591, 26.70675
0, McLaughlinCluster, study, 0, 0, study, 1.264748, -2.438232, 100.4045, 20211022, 11:01:08.94981, 26.72051
0, McLaughlinCluster, study, 0, 0, study, 1.454096, -2.525208, 100.7949, 20211022, 11:01:08.96345, 26.73458
0, McLaughlinCluster, study, 0, 0, study, 1.663561, -2.490295, 101.144, 20211022, 11:01:08.97771, 26.74839
0, McLaughlinCluster, study, 0, 0, study, 1.767505, -2.300171, 101.4848, 20211022, 11:01:08.99160, 26.76232
0, McLaughlinCluster, study, 0, 0, study, 1.834128, -2.08017, 101.7174, 20211022, 11:01:09.00527, 26.77635
0, McLaughlinCluster, study, 0, 0, study, 1.775425, -1.902802, 101.8376, 20211022, 11:01:09.01925, 26.79012
0, McLaughlinCluster, study, 0, 0, study, 1.632034, -1.794281, 101.8206, 20211022, 11:01:09.03407, 26.80418
0, McLaughlinCluster, study, 0, 0, study, 1.523311, -1.74408, 101.5761, 20211022, 11:01:09.04696, 26.81808
0, McLaughlinCluster, study, 0, 0, study, 1.432802, -1.715057, 101.214, 20211022, 11:01:09.06114, 26.83199
0, McLaughlinCluster, study, 0, 0, study, 1.313629, -1.719971, 100.687, 20211022, 11:01:09.07510, 26.84589
0, McLaughlinCluster, study, 0, 0, study, 1.277183, -1.813843, 100.0236, 20211022, 11:01:09.08866, 26.85973
0, McLaughlinCluster, study, 0, 0, study, 1.233971, -1.878448, 99.30321, 20211022, 11:01:09.10290, 26.87367
0, McLaughlinCluster, study, 0, 0, study, 1.222425, -1.957489, 98.64198, 20211022, 11:01:09.11671, 26.8876
0, McLaughlinCluster, study, 0, 0, study, 1.260073, -2.008667, 97.96803, 20211022, 11:01:09.13075, 26.9016
0, McLaughlinCluster, study, 0, 0, study, 1.296649, -2.09024, 97.282, 20211022, 11:01:09.14436, 26.91546
0, McLaughlinCluster, study, 0, 0, study, 1.265851, -2.026978, 96.58722, 20211022, 11:01:09.15898, 26.92945
0, McLaughlinCluster, study, 0, 0, study, 1.293273, -1.914642, 95.89944, 20211022, 11:01:09.17263, 26.94334
0, McLaughlinCluster, study, 0, 0, study, 1.352432, -1.714691, 95.1624, 20211022, 11:01:09.18619, 26.95726
0, McLaughlinCluster, study, 0, 0, study, 1.205071, -1.393707, 94.35185, 20211022, 11:01:09.20030, 26.97116
0, McLaughlinCluster, study, 0, 0, study, 0.9354004, -0.8553467, 93.39074, 20211022, 11:01:09.21434, 26.98514
0, McLaughlinCluster, study, 0, 0, study, 0.6881888, -0.04168701, 92.26059, 20211022, 11:01:09.22798, 26.99907
0, McLaughlinCluster, study, 0, 0, study, 0.4408605, 0.6467252, 91.09901, 20211022, 11:01:09.24230, 27.01304
0, McLaughlinCluster, study, 0, 0, study, -0.004680058, 1.08919, 90.00344, 20211022, 11:01:09.25599, 27.02682
0, McLaughlinCluster, study, 0, 0, study, -0.4680481, 1.184321, 88.99245, 20211022, 11:01:09.26992, 27.04078
0, McLaughlinCluster, study, 0, 0, study, -0.7800293, 1.209283, 88.04351, 20211022, 11:01:09.28364, 27.05475
0, McLaughlinCluster, study, 0, 0, study, -0.9156799, 1.222089, 87.00958, 20211022, 11:01:09.29767, 27.0686
0, McLaughlinCluster, study, 0, 0, study, -0.899292, 1.255928, 85.98141, 20211022, 11:01:09.31165, 27.08252
0, McLaughlinCluster, study, 0, 0, study, -0.8515015, 1.228421, 85.01974, 20211022, 11:01:09.32533, 27.09643
0, McLaughlinCluster, study, 0, 0, study, -0.8230591, 1.100473, 84.11201, 20211022, 11:01:09.33944, 27.11029
0, McLaughlinCluster, study, 0, 0, study, -0.8746948, 1.05624, 83.2383, 20211022, 11:01:09.35366, 27.12437
0, McLaughlinCluster, study, 0, 0, study, -0.8970337, 1.0672, 82.28729, 20211022, 11:01:09.36704, 27.13817
0, McLaughlinCluster, study, 0, 0, study, -0.7687988, 1.024302, 81.35085, 20211022, 11:01:09.38123, 27.15207
0, McLaughlinCluster, study, 0, 0, study, -0.6260986, 1.00194, 80.46133, 20211022, 11:01:09.39526, 27.16607
0, McLaughlinCluster, study, 0, 0, study, -0.4231567, 1.141942, 79.57796, 20211022, 11:01:09.40884, 27.17995
0, McLaughlinCluster, study, 0, 0, study, -0.09350586, 1.464633, 78.53726, 20211022, 11:01:09.42326, 27.19396
0, McLaughlinCluster, study, 0, 0, study, 0.215394, 1.936141, 77.32681, 20211022, 11:01:09.43704, 27.20781
0, McLaughlinCluster, study, 0, 0, study, 0.4711655, 2.451743, 75.96601, 20211022, 11:01:09.45075, 27.22161
0, McLaughlinCluster, study, 0, 0, study, 0.7985652, 3.056182, 74.44304, 20211022, 11:01:09.46458, 27.23561
0, McLaughlinCluster, study, 0, 0, study, 1.039694, 3.532045, 72.82517, 20211022, 11:01:09.47872, 27.24956
0, McLaughlinCluster, study, 0, 0, study, 0.857272, 3.704377, 71.29483, 20211022, 11:01:09.49269, 27.26347
0, McLaughlinCluster, study, 0, 0, study, 0.4660978, 3.535224, 69.81832, 20211022, 11:01:09.50640, 27.27743
0, McLaughlinCluster, study, 0, 0, study, 0.1234211, 3.354701, 68.38842, 20211022, 11:01:09.52051, 27.29135
0, McLaughlinCluster, study, 0, 0, study, -0.2766418, 3.315132, 66.93478, 20211022, 11:01:09.53478, 27.30533
0, McLaughlinCluster, study, 0, 0, study, -0.7218018, 3.529204, 65.47015, 20211022, 11:01:09.54830, 27.31912
0, McLaughlinCluster, study, 0, 0, study, -1.173828, 3.905401, 63.95042, 20211022, 11:01:09.56229, 27.33307
0, McLaughlinCluster, study, 0, 0, study, -1.490051, 4.166855, 62.39314, 20211022, 11:01:09.57622, 27.34699
0, McLaughlinCluster, study, 0, 0, study, -1.886993, 4.481761, 60.91529, 20211022, 11:01:09.59010, 27.3609
0, McLaughlinCluster, study, 0, 0, study, -2.347778, 4.851027, 59.45332, 20211022, 11:01:09.60386, 27.37494
