trialIdx,primeName,primeAngleYaw,targetName,targetAngleYaw,targetSide,sameScenePrime,correctResponse,response,roll,pitch,yaw,rt,timestamp,condition,familiarityPrime,familiarityTarget,subject_id,session_format,explicit_acc_scenewise_prime,explicit_acc_scenewise_target,oc_acc_by_condition,oc_acc
47,RollinsChapel3,0,RollinsChapel3,-90,-90,1,open,open,2.018507,-7.469238,-77.32813,1.183105,952.1933,1,yes,yes,degas753,inperson,0.333333333333333,0.333333333333333,0.976744186046512,0.956989247311828
48,BakerBerry2nd,0,BakerBerry2nd,-90,90,2,closed,closed,0.2196867,-3.150879,77.78171,0.9468384,954.1285,3,yes,yes,degas753,inperson,0.333333333333333,0.333333333333333,0.9,0.956989247311828
50,BakerBerry2nd,0,BakerBerry2nd,-90,-90,1,closed,closed,2.060994,-6.939606,-75.60501,1.490967,961.7733,1,yes,yes,degas753,inperson,0.333333333333333,0.333333333333333,0.976744186046512,0.956989247311828
54,neutral,0,RollinsChapel3,90,90,0,closed,closed,2.278499,0.7208214,85.79446,2.241638,977.0308,2,na,yes,degas753,inperson,NaN,0.333333333333333,0.966666666666667,0.956989247311828
55,neutral,0,MooreLot,-90,-90,0,closed,closed,3.429179,-4.834625,-75.35388,1.44812,979.871,2,na,yes,degas753,inperson,NaN,0.666666666666667,0.966666666666667,0.956989247311828
56,AllenSt,0,AllenSt,90,90,1,closed,closed,-0.7720337,-1.282074,83.46455,1.155701,982.182,1,yes,yes,degas753,inperson,0.666666666666667,0.666666666666667,0.976744186046512,0.956989247311828
59,Zimmerman,0,Zimmerman,90,-90,2,open,open,4.382935,-6.856659,-75.97461,1.211243,993.7932,3,no,no,degas753,inperson,0.333333333333333,0.333333333333333,0.9,0.956989247311828
60,BakerBerryHistoric2,0,BakerBerryHistoric2,-90,-90,1,closed,closed,3.424852,-4.25238,-82.17682,1.044373,996.1044,1,no,no,degas753,inperson,0.333333333333333,0.333333333333333,0.976744186046512,0.956989247311828
61,neutral,0,AllenSt,-90,-90,0,open,open,4.298413,-8.968506,-79.65103,1.058167,998.3597,2,na,yes,degas753,inperson,NaN,0.666666666666667,0.966666666666667,0.956989247311828
62,neutral,0,McLaughlinCluster,-90,-90,0,closed,closed,1.298967,-14.57275,-65.99753,0.9885864,1000.323,2,na,yes,degas753,inperson,NaN,0.666666666666667,0.966666666666667,0.956989247311828
63,Hop2,0,Hop2,-90,-90,1,closed,closed,4.781076,-6.97525,-80.25949,1.155518,1002.662,1,yes,yes,degas753,inperson,0.666666666666667,0.666666666666667,0.976744186046512,0.956989247311828
65,RollinsChapel3,0,RollinsChapel3,-90,-90,1,open,open,1.762144,-9.36853,-73.43344,1.058228,1007.479,1,yes,yes,degas753,inperson,0.333333333333333,0.333333333333333,0.976744186046512,0.956989247311828
66,neutral,0,RaunerBackHall,90,90,0,open,open,-0.461853,-2.373718,82.26602,1.294922,1009.679,2,na,unsure,degas753,inperson,NaN,0.333333333333333,0.966666666666667,0.956989247311828
67,PineEntrance,0,PineEntrance,90,-90,2,closed,closed,3.051059,-12.53036,-42.2045,1.058167,1012.018,3,yes,yes,degas753,inperson,1,1,0.9,0.956989247311828
68,BakerBerryHistoric2,0,BakerBerryHistoric2,-90,-90,1,closed,closed,4.549864,-6.339142,-64.83844,2.561707,1015.804,1,no,no,degas753,inperson,0.333333333333333,0.333333333333333,0.976744186046512,0.956989247311828
70,Umplebys,0,Umplebys,90,90,1,closed,closed,-1.990662,-3.481964,74.63293,1.489624,1022.863,1,yes,yes,degas753,inperson,0.666666666666667,0.666666666666667,0.976744186046512,0.956989247311828
